titleKey,title,year,type,status,traktId,imdbId,tmdbId,myRating,ratedAt,plays,lastWatchedAt,airedEpisodes,completionStatus,favorite,watchlistedAt,citedBy,genres,overview,keywords,originalLanguage,tmdbVoteAverage,tmdbVoteCount,tmdbPopularity,similarToIds,recommendedIds,similarToTitles,similarToDirectors,subgenres,tones,subjects,era,topCast,releaseDate,runtime,creator,belongsToCollection,tmdbStatus,numberOfSeasons,numberOfEpisodes,tmdbFetchedAt,rottenTomatoes,metacritic,rtAudience,metacriticUser,omdbImdbRating,omdbImdbVotes,oscarWins,oscarNominations,emmyWins,emmyNominations,totalAwardWins,totalAwardNominations,awardsRaw,omdbFetchedAt,excludedFromRecommendations,exclusionReasonCode,exclusionReasonLabel,isRecommendationEligible,predictedScore,confidenceScore,popularityScore,imdbPopularityScore,criticScoreComputed,audienceScoreComputed,awardsScoreComputed,reason
show:108545,3 Body Problem,2024,show,Watched,169972,tt13016388,108545,8,2024-03-21T00:00:00.000Z,8,1970-01-01T00:00:00.000Z,8,caught-up,false,,,Sci-Fi & Fantasy; Mystery; Drama,"Across continents and decades, five brilliant friends make earth-shattering discoveries as the laws of science unravel and an existential threat emerges.",china; based on novel or book; scientist; alien invasion; alien contact; signal; 1960s; thoughtful; alien civilization; imaginative; anxious; inspirational; cerebral; secret; thriller,en,7.497,1664,22.9143,19; 91909; 275464; 124586; 124587; 124595; 124583; 124585; 58677; 28527; 28580; 28379; 305613; 207150; 207158; 92154; 28672; 164; 122; 136,86374; 1705; 156640; 34967; 83135; 127235; 157239; 82001; 247721; 424; 21494; 42009; 112581; 1639; 69061; 48866; 253372; 93784; 47640; 51704,The 100; Black Mirror; Fringe; Heroes; The Strain,Simon Kinberg,supernatural-mystery; alien-invasion,thoughtful; dark; suspenseful,supernatural-paranormal,,Jovan Adepo; Rosalind Chao; Liam Cunningham; Eiza González; Jess Hong,2024-03-21,,David Benioff,,Returning Series,1,8,2026-09-18,79,70,76,61,7.5,177200,0,0,0,6,2,38,Nominated for 6 Primetime Emmys. 2 wins & 38 nominations total,2026-09-10,false,,,false,72,95,72,84,75,69,90,"Similar Title — Similar to Black Mirror, which you loved."
show:4608,30 Rock,2006,show,Watched,4584,tt0496424,4608,6,2026-07-29T01:21:12.000Z,138,2013-02-01T01:21:00.000Z,138,caught-up,false,,,Comedy,"Liz Lemon, the head writer for a late-night TV variety show in New York, tries to juggle all the egos around her while chasing her own dream.",new york city; writing; parody; female protagonist; writer; sketch comedy; employer employee relationship; sitcom; lighthearted; joyful,en,7.499,847,45.7221,60874; 1439; 1440; 60904; 1456; 1459; 1460; 1461; 1462; 1393; 456; 1400; 1464; 1466; 1467; 1417; 1418; 1420; 1421; 1422,2962; 1400; 110; 4454; 2132; 39340; 4277; 2316; 1964; 971; 2352; 2548; 4576; 31841; 2730; 2996; 75; 634; 32294; 32843,The Big Bang Theory; The Simpsons; The Office; Modern Family; Seinfeld,Steven Levitan,workplace-comedy; satire; sitcom,witty; satirical,workplace-culture,,Tina Fey; Alec Baldwin; Tracy Morgan; Jane Krakowski; Jack McBrayer,2006-10-11,22,Tina Fey,,Ended,7,138,2026-09-18,78,73,91,84,8.3,137477,0,0,16,0,101,368,Won 16 Primetime Emmys. 101 wins & 368 nominations total,2026-09-10,false,,,false,64,90,65,82,76,88,100,"Similar Title — Similar to The Office and Seinfeld, which you loved."
movie:1271,300,2007,movie,Watched,884,tt0416449,1271,8,2026-08-21T15:21:39.000Z,1,2007-03-07T00:00:00.000Z,,,false,,,Action; Adventure; War,"A story very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians.",army; narration; gore; based on true story; based on comic; sword fight; massacre; ancient world; based on graphic novel; ancient greece; warrior; ancient warfare; sparta greece; 5th century bc; extreme violence,en,7.208,15089,16.8242,924154; 1508507; 556901; 152760; 745080; 174950; 1337574; 1594914; 29882; 473678; 29996; 289222; 289418; 474227; 30529; 30675; 843846; 30938; 31003; 30596,53182; 184315; 1966; 9387; 1251; 11358; 21512; 558449; 948713; 460465; 1257009; 161460; 8009; 639933; 1654; 489245; 791373; 2024; 96399; 22832,Zack Snyder's Justice League; 300: Rise of an Empire; Gladiator II; The Patriot; Hercules,,historical; military-drama,gritty; intense; dark,resistance-rebellion,,Gerard Butler; Lena Headey; Dominic West; David Wenham; Vincent Regan,2007-03-07,117,Zack Snyder,300 Collection,,,,2026-09-18,61,52,89,72,7.6,904962,0,0,0,0,19,57,19 wins & 57 nominations total,2026-09-10,false,,,false,63,100,93,95,57,81,95,"Similar Title — Similar to Gladiator II, which you loved."
movie:40807,50/50,2011,movie,Watched,26878,tt1306980,40807,8,2026-09-11T23:43:33.000Z,1,2011-09-30T00:00:00.000Z,,,false,,,Comedy; Drama,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",friendship; parent child relationship; therapist; painter; cancer; psychologist; hospital; best friend; doctor; patient; doctor patient relationship; vomiting; chemotherapy,en,7.201,4262,7.9339,369621; 369557; 369594; 401896; 1717351; 174680; 757860; 175983; 176007; 589049; 589064; 728878; 924005; 574546; 150776; 152737; 152750; 1705141; 1337567; 1139567,20829; 525183; 597231; 259956; 26976; 24363; 1214469; 436459; 533705; 325346; 13107; 27834; 10683; 829774; 467956; 1014209; 1160360; 52105; 1077661; 26520,Sing Street; August: Osage County; Somewhere in Queens,,medical,witty; character-driven; inspirational; melancholy,terminal-illness,,Joseph Gordon-Levitt; Seth Rogen; Anna Kendrick; Bryce Dallas Howard; Anjelica Huston,2011-09-30,100,Jonathan Levine,,,,,2026-09-18,93,72,,,7.6,352503,0,0,0,0,12,28,12 wins & 28 nominations total,2026-09-12,false,,,false,64,95,81,89,83,,52,Cast Affinity — You've loved 3 titles with Joseph Gordon-Levitt before.
movie:661539,A Complete Unknown,2024,movie,Watched,495543,tt11563598,661539,7,2024-12-25T00:00:00.000Z,1,2024-12-25T00:00:00.000Z,,,false,,,Drama; Music,"New York, early 1960s. Against the backdrop of a vibrant music scene and tumultuous cultural upheaval, an enigmatic 19-year-old from Minnesota arrives in the West Village with his guitar and revolutionary talent, destined to change the course of American music.",new york city; based on novel or book; musician; biography; folk music; music history; singer-songwriter; greenwich village; 1960s; artistic risk; fictionalized history; electric guitar; acoustic folk,en,7.1,1561,15.1158,369594; 122322; 728882; 434644; 123665; 123685; 123690; 726620; 1316989; 370222; 387426; 573627; 400656; 400728; 942341; 402693; 589049; 170889; 587910; 401806,25566; 209451; 592863; 383709; 17332; 537116; 158675; 541524; 630566; 206284; 802219; 998846; 1230368; 6478; 975056; 458131; 614934; 32274; 1038263; 440918,"Okja; Elvis; tick, tick... BOOM!; Clouds; Cabrini",,biography; historical,nostalgic; character-driven; inspirational; intense,artistic-creative,,Timothée Chalamet; Edward Norton; Elle Fanning; Monica Barbaro; Scoot McNairy,2024-12-25,141,James Mangold,,,,,2026-09-18,81,70,95,72,7.3,98546,0,8,0,0,26,129,Nominated for 8 Oscars. 26 wins & 129 nominations total,2026-09-10,false,,,false,64,95,71,80,76,84,100,Creator Match — You've loved 1 title from director James Mangold before.
show:225120,A Man in Full,2024,show,Watched,204765,tt15845610,225120,8,2026-08-13T13:33:42.000Z,6,2024-05-02T07:49:00.000Z,6,caught-up,false,,,Drama,"Facing relentless foes and sudden bankruptcy, an Atlanta real estate tycoon must claw his way back to the top when his empire begins to crumble.",based on novel or book; miniseries; bankruptcy; real estate; business tycoon,en,6.247,97,6.9538,60875; 60907; 1457; 1391; 1395; 1399; 1405; 241275; 241290; 126254; 1479; 1425; 241064; 241065; 241114; 241084; 30427; 30503; 306871; 208684,72787; 72002; 210239; 248416; 256711; 108181; 278624; 97539; 71715; 113984; 90399; 116799; 95556; 67925; 117821; 67384; 137893; 46441; 270734; 155533,Game of Thrones; Dexter; House of Cards; Gossip Girl; Good Girls,David E. Kelley,financial-drama; political; satire,gritty; intense; dark; character-driven,class-wealth-corporate,,Jeff Daniels; Diane Lane; Tom Pelphrey; Aml Ameen; Chanté Adams,2024-05-02,,David E. Kelley,,Ended,1,6,2026-09-18,50,51,42,54,6.5,15447,0,0,0,0,1,0,1 win total,2026-09-10,false,,,false,87,85,44,67,51,48,2,Creator Match — You've loved 4 titles from creator David E. Kelley before.
show:245312,A Man on the Inside,2024,show,Watched,223229,tt26670955,245312,10,2026-07-29T00:14:34.000Z,16,1970-01-01T00:00:00.000Z,16,caught-up,false,,,Comedy; Crime,A retired professor with a knack for snooping gets a new lease on life when a private investigator recruits him to go undercover and crack a case.,"spy; san francisco, california; amateur detective; parenthood; private investigator; retirement community; undercover operation; based on movie; sitcom; father daughter relationship; heartfelt; witty; elderly widower; retired professor",en,7.417,253,17.5494,3905; 3913; 3921; 34665; 62264; 95433; 95480; 95481; 31841; 95260; 95274; 2174; 2180; 2184; 2191; 2117; 2126; 2132; 2133; 2140,13266; 3253; 67117; 1849; 48891; 39357; 202304; 1530; 260471; 10118; 1260; 2586; 6515; 2016; 202101; 2187; 3497; 1566; 71771; 81144,Brooklyn Nine-Nine; Ash vs Evil Dead; Slow Horses; Suburgatory; Episodes,Norman Lear,workplace-comedy; comedy-mystery; dramedy,witty,self-discovery,,Ted Danson; Mary Elizabeth Ellis; Lilah Richcreek Estrada; Mary Steenburgen,2024-11-21,,Michael Schur,,Returning Series,2,16,2026-09-18,93,74,80,72,7.6,42370,0,0,0,0,2,7,2 wins & 7 nominations total,2026-09-10,false,,,false,91,90,54,74,84,76,11,Creator Match — You've loved 3 titles from creator Michael Schur before.
movie:447332,A Quiet Place,2018,movie,Watched,293955,tt6644200,447332,4,2018-04-06T00:00:00.000Z,1,2018-04-06T00:00:00.000Z,,,false,,,Horror; Drama; Science Fiction,A family is forced to live in silence while hiding from creatures that hunt by sound.,pregnancy; fireworks; deaf; post-apocalyptic future; alien life-form; child in peril; creature; alien invasion; parenting; survival horror; alien monster; human vs alien; sign languages; hostile; anxious,en,7.395,15713,21.8612,387426; 150786; 1703977; 1686640; 1139594; 1509659; 757854; 177221; 402648; 1337650; 29876; 29938; 289021; 1421903; 843302; 1038869; 1422011; 651070; 30478; 30497,520763; 1051896; 527261; 985; 762441; 12122; 820609; 145135; 338676; 333371; 60935; 9599; 1339173; 1196067; 28153; 10331; 28942; 1091; 1320330; 805,The Thing; A Quiet Place Part II; Okja; Rosemary's Baby; A Fall from Grace,,post-apocalyptic; creature-feature; survival-horror,intense; suspenseful; character-driven; atmospheric,family-dynamics,,Emily Blunt; John Krasinski; Millicent Simmonds; Noah Jupe; Cade Woodward,2018-04-03,91,John Krasinski,A Quiet Place Collection,,,,2026-09-18,96,82,83,74,7.5,652123,0,1,0,0,38,129,Nominated for 1 Oscar. 38 wins & 129 nominations total,2026-09-10,false,,,false,48,100,94,93,89,79,100,Cast Affinity — You've loved 2 titles with Emily Blunt before.
movie:332562,A Star Is Born,2018,movie,Watched,213443,tt1517451,332562,10,2018-10-05T00:00:00.000Z,1,2018-10-05T00:00:00.000Z,,,false,,,Music; Drama; Romance,"Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",concert; country music; waitress; pop star; self-destruction; show business; talent; addiction; alcoholism; celebrity; remake; aspiring singer; singer; fame; tinnitus,en,7.49,12386,17.0419,122308; 122339; 924164; 122247; 1719319; 1115839; 1115852; 575896; 150617; 1686391; 1491564; 1686574; 1686579; 1705110; 1508383; 939984; 574556; 369608; 370268; 1686601,25196; 13763; 19610; 27804; 799766; 1677; 504608; 528761; 22067; 523607; 41003; 489928; 46702; 451; 42045; 14054; 8356; 3055; 15392; 1011082,Rocketman; Ray; Leaving Las Vegas; Crazy Heart; Better Man,,romance,dark; melancholy; character-driven; intense,addiction-recovery; drug-addiction,,Lady Gaga; Bradley Cooper; Sam Elliott; Andrew Dice Clay; Rafi Gavron,2018-10-03,136,Bradley Cooper,,,,,2026-09-18,90,88,80,84,7.6,445763,1,0,0,0,99,288,Won 1 Oscar. 99 wins & 288 nominations total,2026-09-10,false,,,false,96,100,91,90,89,82,100,Creator Match — You've loved 2 titles from director Bradley Cooper before.
show:103992,A Teacher,2020,show,Watched,136021,tt10680614,103992,7,2020-12-29T00:00:00.000Z,10,1970-01-01T00:00:00.000Z,10,caught-up,false,,,Drama,"Claire Wilson, a young teacher at a suburban Texas high school, begins an affair with her student, Eric Walker. But their relationship accelerates faster than anticipated and the permanent damage becomes impossible to ignore.",texas; teacher student relationship; high school teacher; older woman younger man relationship; based on movie,en,7.142,402,11.7937,92414; 92298; 433; 494; 276161; 29301; 207718; 789; 29497; 59659; 661; 40; 51; 124578; 19; 127; 167; 124800; 208133; 93447,125940; 227975; 240993; 96718; 262848; 199001; 12998; 217211; 61463; 201877; 31917; 60626; 15003; 223313; 269; 130842; 244447; 90399; 241372; 107365,Pretty Little Liars; Terminator: The Sarah Connor Chronicles; One Tree Hill; Halt and Catch Fire; Love & Death,,psychological-drama,dark; intense; slow-burn; character-driven,power-corruption,,Kate Mara; Nick Robinson,2020-11-10,,Hannah Fidell,,Ended,1,10,2026-09-18,74,67,58,60,6.9,16872,0,0,0,0,1,5,1 win & 5 nominations total,2026-09-10,false,,,false,57,90,58,68,71,59,7,Similar Title — Titles you rated highly list this as similar or recommended (1 time).
