Source,Title,Author,Type,Shelf,My Rating,Avg Rating,Ratings Count,Pages,Year,Date Read,Date Added,ISBN,ISBN13,Publisher,Themes,Tones,Similar To Titles,Similar To Authors,Cover URL,Goodreads URL,Buy URL,Book Key,Top 10,All Time Fave,DNF,BBRE Score
goodreads,She Didn't See It Coming,Shari Lapena,fiction,read,5,3.88,30000,349,2025,2026/03/15,2026/03/15,0593832450,9780593832455,Pamela Dorman Books,"thriller, domestic suspense, psychological","fast-paced, twisty, dark, tense","The Couple Next Door, Behind Closed Doors, The Breakdown, The Silent Patient, Verity","B.A. Paris, Lisa Jewell, Liane Moriarty, Paula Hawkins",,,,she-didn-t-see-it-coming|shari-lapena,,,,
goodreads,No More Tears: The Dark Secrets of Johnson & Johnson,Gardiner Harris,nonfiction,read,2,3.75,3000,464,2025,2026/03/04,2025/12/06,059322986X,9780593229866,Random House,"narrative nonfiction, business","fast-paced, tense, dark","Dopesick: Dealers, Doctors, and the Drug Company that Addicted America, Evicted: Poverty and Profit in the American City, The Secret Life of Groceries: The Dark Miracle of the American Supermarket","Lawrence Wright, Erik Larson, David Grann, Jon Krakauer",,,,no-more-tears-the-dark-secrets-of-johnson-johnson|gardiner-harris,,,,
goodreads,Gone Before Goodbye,Reese Witherspoon,fiction,read,5,3.85,5000,344,2025,2026/02/24,2025/10/02,1538774712,9781538774717,Grand Central Publishing,"thriller, mystery, suspense","fast-paced, tense, procedural, whodunit","The Silent Patient, Behind Closed Doors, The Housemaid (The Housemaid, #1), Verity, The Breakdown","Taylor Jenkins Reid, Liane Moriarty, Kristin Hannah, Jojo Moyes",,,,gone-before-goodbye|reese-witherspoon,,,,
goodreads,The Long Walk,Stephen King,fiction,read,4,4.23,250000,400,2016,2026/02/19,2024/04/11,,,Scribner,"speculative, horror, suspense","dark, tense, slow-burn, disturbing","The Running Man, The Postmortal, World War Z: An Oral History of the Zombie War, The Stand","Dean Koontz, Joe Hill, Peter Straub, Clive Barker",,,,the-long-walk|stephen-king,,,,
goodreads,My Next Breath,Jeremy Renner,nonfiction,read,3,3.78,8000,224,2025,2026/02/13,2025/11/17,1250383536,9781250383532,Flatiron Books,"memoir, biography","character-study, narrative-driven, personal, conversational","A Life in Parts, Me, Robin, Yearbook","Bryan Cranston, Matthew McConaughey, Steve Martin, Elton John",,,,my-next-breath|jeremy-renner,,,,
goodreads,The Widow,John Grisham,fiction,read,5,4.05,15000,407,2025,2026/02/01,2025/04/09,0385548990,9780385548991,Doubleday,"legal, thriller, courtroom","fast-paced, procedural, plot-driven, tense","A Time to Kill (Jake Brigance, #1), The Client, The Firm (The Firm, #1), Partners: A Rogue Lawyer Short Story (Kindle Single), The French Illusion","Scott Turow, James Grippando, Steve Cavanagh, Richard Patterson",,,,the-widow|john-grisham,,,,
goodreads,The Greatest Sentence Ever Written,Walter Isaacson,nonfiction,read,5,4,3000,80,2025,2026/01/24,2026/01/24,1982181338,9781982181338,Simon & Schuster,"narrative nonfiction, history","accessible, narrative-driven, inspiring, dense","Steve Jobs, The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution, American Sketches: Great Leaders, Creative Thinkers, and Heroes of a Hurricane, Kissinger: A Biography, The Wise Men: Six Friends and the World They Made","Ashlee Vance, Brad Stone, Ron Chernow, David McCullough",,,,the-greatest-sentence-ever-written|walter-isaacson,,,,
goodreads,Beautiful Ugly,Alice Feeney,fiction,read,5,4.11,35000,320,2025,2026/01/22,2025/12/17,1250337798,9781250337795,Flatiron Books,"thriller, psychological","fast-paced, twisty, dark, tense","Rock Paper Scissors, The Silent Patient, Behind Closed Doors, No One Saw a Thing, All Her Fault","B.A. Paris, Shari Lapena, Freida McFadden, Lisa Jewell",,,,beautiful-ugly|alice-feeney,,Yes,,
goodreads,American Kings: A Biography of the Quarterback,Seth Wickersham,nonfiction,read,2,3.65,3000,395,2025,2026/01/20,2026/01/07,1368114830,9781368114837,Hyperion Avenue Digital,"sports, narrative nonfiction","slow-burn, character-study, inspiring","Three-Ring Circus: Kobe, Shaq, Phil, and the Crazy Years of the Lakers Dynasty, Boys Will Be Boys: The Glory Days and Party Nights of the Dallas Cowboys Dynasty, The Last Folk Hero: The Life and Myth of Bo Jackson, Dream Team: How Michael, Magic, Larry, Charles, and the Greatest Team of All Time Conquered the World and Changed the Game of Basketball Forever","Michael Lewis, Dave Zirin, Jeff Pearlman, Tom Verducci",,,,american-kings-a-biography-of-the-quarterback|seth-wickersham,,,,
goodreads,None of This Is True,Lisa Jewell,fiction,read,5,3.97,95000,384,2023,2026/01/04,2023/09/07,,,Atria,"thriller, psychological, domestic suspense","fast-paced, dark, tense, twisty","The Silent Patient, Behind Closed Doors, The Breakdown, Verity, No One Saw a Thing","B.A. Paris, Shari Lapena, Liane Moriarty, Freida McFadden",,,,none-of-this-is-true|lisa-jewell,,Yes,,
goodreads,"You Have Arrived at Your Destination (Forward Collection, #4)",Amor Towles,fiction,read,4,3.49,8000,54,2019,2025/12/27,2025/12/27,1542004349,9781542004343,Amazon Original Stories,"speculative, sci-fi","slow-burn, atmospheric, character-study","Recursion, Dark Matter, Summer Frost (Forward Collection, #2), The Egg","Anthony Doerr, Alan Furst, Donna Tartt, Kate Atkinson",,,,you-have-arrived-at-your-destination|amor-towles,,,,
goodreads,"Emergency Skin (Forward Collection, #3)",N.K. Jemisin,fiction,read,2,3.55,15000,38,2019,2025/12/27,2025/12/27,1542093570,9781542093576,Amazon Original Stories,"speculative, sci-fi","fast-paced, dark, polemic","The Egg, Exhalation, Recursion, Dark Matter","Octavia Butler, Ted Chiang, Ursula K. Le Guin, Becky Chambers",,,,emergency-skin|n-k-jemisin,,,,
goodreads,"Summer Frost (Forward Collection, #2)",Blake Crouch,fiction,read,4,3.62,12000,85,2019,2025/12/27,2020/09/03,1542043638,9781542043632,Amazon Original Stories,"speculative, sci-fi","fast-paced, twisty, compulsive, slow-burn","Recursion, Dark Matter, The Egg, You Have Arrived at Your Destination (Forward Collection, #4)","Andy Weir, Neal Stephenson, Michael Crichton, Greg Bear",,,,summer-frost|blake-crouch,,,,
goodreads,The Breakdown,B.A. Paris,fiction,read,5,3.92,120000,337,2019,2025/12/26,2023/11/04,,,St. Martin's Press,"thriller, psychological, suspense","fast-paced, twisty, tense, dark","Behind Closed Doors, The Prisoner, The Silent Patient, Bring Me Back, The Therapist","Shari Lapena, Lisa Jewell, Paula Hawkins, Gillian Flynn",,,,the-breakdown|b-a-paris,,,,
goodreads,The Echo Wife,Sarah Gailey,fiction,read,5,3.91,40000,256,2021,2025/12/20,2021/12/17,125017466X,9781250174666,Tor Books,"speculative, thriller, literary","slow-burn, atmospheric, fast-paced, character-driven","Magic for Liars, Recursion, The Invisible Life of Addie LaRue, The Measure, The Mountain in the Sea","N.K. Jemisin, Emily St. John Mandel, Carmen Maria Machado, Kazuo Ishiguro",,,,the-echo-wife|sarah-gailey,,Yes,,
goodreads,Tiger Tiger: His Life as It's Never Been Told Before,James Patterson,fiction,read,4,3.8,10000,448,2024,2025/12/17,2024/06/05,031643860X,9780316438605,"Little, Brown and Company","thriller, crime","fast-paced, plot-driven, compulsive, dark","Along Came a Spider (Alex Cross, #1), Kiss the Girls (Alex Cross, #2), 12 Months to Live (Jane Smith, #1), The Jailhouse Lawyer","Harlan Coben, Michael Connelly, Lee Child, David Baldacci",,,,tiger-tiger-his-life-as-it-s-never-been-told-before|james-patterson,,,,
goodreads,All Her Fault,Andrea Mara,fiction,read,5,3.87,25000,389,2021,2025/12/01,2025/11/04,1473589444,9781473589445,Transworld Digital,"thriller, domestic suspense, psychological","fast-paced, twisty, tense, dark","No One Saw a Thing, Behind Closed Doors, The Breakdown, The Silent Patient, The Couple Next Door","Freida McFadden, B.A. Paris, Shari Lapena, Lisa Jewell",,,,all-her-fault|andrea-mara,,,,
goodreads,I Regret Almost Everything,Keith McNally,nonfiction,read,2,3.6,5000,320,2025,2025/11/24,2025/08/15,,,Gallery Books,"memoir, food","conversational, character-study, accessible, personal","Your Table Is Ready: Tales of a New York City Maître D', Eat a Peach, Yes, Chef, Save Me the Plums: My Gourmet Memoir","David Chang, Anthony Bourdain, Marcus Samuelsson, Ruth Reichl",,,,i-regret-almost-everything|keith-mcnally,,,,
goodreads,"The Perfect Divorce (Perfect, #2)",Jeneva Rose,fiction,read,5,3.77,20000,335,2025,2025/11/16,2025/11/07,,9798874620950,Blackstone Publishing,"thriller, domestic suspense, psychological","fast-paced, twisty, dark, tense","The Perfect Marriage, Home Is Where the Bodies Are, Dating After the End of the World, Behind Closed Doors, Verity","Freida McFadden, B.A. Paris, Lisa Jewell, Shari Lapena",,,,the-perfect-divorce|jeneva-rose,,,,
goodreads,Blacktop Wasteland,S.A. Cosby,fiction,read,5,4.03,25000,285,2020,2025/11/04,2020/12/19,,,Flatiron Books,"thriller, crime, noir","fast-paced, dark, gritty, character-driven","Razorblade Tears, She Rides Shotgun, Everybody Knows, A Violent Masterpiece, Hard Cash Valley","Walter Mosley, Don Winslow, George Pelecanos, Karin Slaughter",,,,blacktop-wasteland|s-a-cosby,,Yes,,
goodreads,"Never Flinch (Holly Gibney, #4)",Stephen King,fiction,read,5,4.05,30000,448,2025,2025/10/31,2025/05/21,1668089351,9781668089354,Scribner,"thriller, horror, psychological","atmospheric, dark, character-driven, tense","Holly (Holly Gibney, #3), The Outsider, Billy Summers, Mr. Mercedes (Bill Hodges #1), Revival","Dean Koontz, Joe Hill, Peter Straub, Clive Barker",,,,never-flinch|stephen-king,,Yes,,
goodreads,2024: How Trump Retook the White House and the Democrats Lost America,Josh Dawsey,nonfiction,read,3,3.72,8000,416,2025,2025/10/26,2025/07/23,059383254X,9780593832547,Penguin Press,"political, narrative nonfiction","accessible, investigative, narrative-driven","A Promised Land, The Fifth Risk: Undoing Democracy, Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism","Bob Woodward, Michael Wolff, Maggie Haberman, Jonathan Martin",,,,2024-how-trump-retook-the-white-house-and-the-democrats-lost-america|josh-dawsey,,,,
goodreads,You Shouldn't Have Come Here,Jeneva Rose,fiction,read,4,3.75,15000,309,2023,2025/10/18,2025/10/13,,9798212182829,Blackstone Publishing,"thriller, horror, suspense","fast-paced, twisty, dark, tense","The Perfect Marriage, The Perfect Divorce (Perfect, #2), Home Is Where the Bodies Are, Behind Closed Doors","Freida McFadden, B.A. Paris, Lisa Jewell, Shari Lapena",,,,you-shouldn-t-have-come-here|jeneva-rose,,,,
goodreads,The Boomerang,Robert Bailey,fiction,read,5,3.8,5000,416,2025,2025/10/13,2025/04/11,1662516673,9781662516672,Thomas & Mercer,"legal, thriller","fast-paced, procedural, tense, plot-driven","Rich Blood (Jason Rich, #1), A Time to Kill (Jake Brigance, #1), The Client, An Innocent Client (Joe Dillard, #1)","John Grisham, Scott Pratt, Scott Turow, Steve Cavanagh",,,,the-boomerang|robert-bailey,,Yes,,
goodreads,How to Stop Time,Matt Haig,fiction,read,4,3.8,80000,333,2018,2025/10/01,2021/03/01,,,Penguin,"speculative, literary, contemporary","heartwarming, humorous, accessible, slow-burn","The Midnight Library (The Midnight World, #1), The Midnight Train (The Midnight World, #2), The Humans, This Time Tomorrow","Rainbow Rowell, John Green, David Nicholls, Nick Hornby",,,,how-to-stop-time|matt-haig,,,,
goodreads,Home Is Where the Bodies Are,Jeneva Rose,fiction,read,5,3.82,15000,295,2024,2025/09/27,2025/09/20,,9798212182867,Blackstone Publishing,"thriller, domestic suspense, psychological","fast-paced, twisty, dark, tense","The Perfect Marriage, The Perfect Divorce (Perfect, #2), Dating After the End of the World, The Housemaid (The Housemaid, #1)","Freida McFadden, B.A. Paris, Lisa Jewell, Shari Lapena",,,,home-is-where-the-bodies-are|jeneva-rose,,,,
goodreads,The Perfect Marriage,Jeneva Rose,fiction,read,5,3.8,50000,368,2024,2025/09/20,2025/09/16,,,Corner Star Press,"thriller, domestic suspense, psychological","fast-paced, twisty, dark, tense","The Perfect Divorce (Perfect, #2), Home Is Where the Bodies Are, Dating After the End of the World, Behind Closed Doors, The Housemaid (The Housemaid, #1)","Freida McFadden, B.A. Paris, Lisa Jewell, Shari Lapena",,,,the-perfect-marriage|jeneva-rose,,Yes,,
goodreads,Framed: Astonishing True Stories of Wrongful Convictions,John Grisham,nonfiction,read,4,3.9,10000,368,2024,2025/09/17,2024/09/08,0385550448,9780385550444,Doubleday,"true crime, legal, narrative nonfiction","fast-paced, procedural, plot-driven, dark","The Innocent Man: Murder and Injustice in a Small Town, Just Mercy: A Story of Justice and Redemption, A Time to Kill (Jake Brigance, #1), Presumed Innocent","Scott Turow, James Grippando, Steve Cavanagh, Richard Patterson",,,,framed-astonishing-true-stories-of-wrongful-convictions|john-grisham,,,,
goodreads,Who Is Government?: The Untold Story of Public Service,Michael Lewis,nonfiction,read,4,3.75,5000,290,2025,2025/09/16,2025/03/08,,9798217047819,Riverhead Books,"narrative nonfiction, political","accessible, narrative-driven, investigative","The Premonition: A Pandemic Story, The Big Short: Inside the Doomsday Machine, Flash Boys: A Wall Street Revolt, Going Infinite: The Rise and Fall of a New Tycoon","Malcolm Gladwell, John Carreyrou, Ben Mezrich, Ben Horowitz",,,,who-is-government-the-untold-story-of-public-service|michael-lewis,,,,
goodreads,"Gandolfini: Jim, Tony, and the Life of a Legend",Jason Bailey,nonfiction,read,4,3.9,8000,352,2025,2025/09/15,2025/05/03,1419767690,9781419767692,Harry N. Abrams,"biography, memoir","character-study, narrative-driven, personal, conversational","A Life in Parts, Me, Robin, The Storyteller: Tales of Life and Music","Bill Carter, Dave Itzkoff, Susan Morrison, James Andrew Miller",,,,gandolfini-jim-tony-and-the-life-of-a-legend|jason-bailey,,,,
goodreads,The Return of Ellie Black,Emiko Jean,fiction,read,5,3.92,15000,320,2024,2025/08/11,2025/08/02,1668023954,9781668023952,Simon & Schuster,"thriller, mystery, suspense","fast-paced, tense, procedural, whodunit","The Anniversary, The Silent Patient, The Breakdown, All Her Fault, Behind Closed Doors","Shari Lapena, B.A. Paris, Lisa Jewell, Laura Dave",,,,the-return-of-ellie-black|emiko-jean,,,,
goodreads,Lorne: The Man Who Invented Saturday Night Live,Susan Morrison,nonfiction,read,2,4.05,15000,656,2025,2025/08/06,2025/03/04,0812988876,9780812988871,Random House,"biography, memoir","character-study, narrative-driven, personal, conversational","A Life in Parts, Me, The Storyteller: Tales of Life and Music, Robin","Dave Itzkoff, Jason Bailey, Laurie Woolever, Anthony Bourdain",,,,lorne-the-man-who-invented-saturday-night-live|susan-morrison,,,,
goodreads,"The Exchange (The Firm, #2)",John Grisham,fiction,read,5,3.96,35000,352,2023,2025/08/03,2023/05/27,0385548966,9780385548960,Vintage,"legal, thriller, courtroom","fast-paced, procedural, plot-driven, tense","The Firm (The Firm, #1), The Partner, The Broker, The Boys from Biloxi, The French Illusion","Scott Turow, James Grippando, Steve Cavanagh, Richard Patterson",,,,the-exchange|john-grisham,,,,
goodreads,"The Firm (The Firm, #1)",John Grisham,fiction,read,5,4.11,630000,498,2023,2025/07/11,2025/07/03,,,Dell,"legal, thriller, courtroom","fast-paced, procedural, plot-driven, tense","A Time to Kill (Jake Brigance, #1), The Client, The Rainmaker, The Runaway Jury, Partners: A Rogue Lawyer Short Story (Kindle Single)","Scott Turow, James Grippando, Steve Cavanagh, Richard Patterson",,,,the-firm|john-grisham,,,,
goodreads,"The Perfect Assassin (Doc Savage, #1)",James Patterson,fiction,read,5,3.8,8000,336,2022,2025/06/28,2024/09/26,1538721872,9781538721872,"Little, Brown and Company","thriller, crime, suspense","fast-paced, plot-driven, compulsive, tense","Along Came a Spider (Alex Cross, #1), Kiss the Girls (Alex Cross, #2), 12 Months to Live (Jane Smith, #1), The Idaho Four: An American Tragedy (James Patterson True Crime, 3)","Harlan Coben, Michael Connelly, Lee Child, David Baldacci",,,,the-perfect-assassin|james-patterson,,,,
goodreads,"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,nonfiction,read,5,3.91,110000,256,2022,2025/06/27,2022/05/07,0316296813,9780316296816,"Little, Brown Paperbacks","history, military, narrative nonfiction","accessible, revelatory, conversational, narrative-driven","Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission, The Arsenal of Democracy: FDR, Detroit, and an Epic Quest to Arm an America at War, Unbroken: A World War II Story of Survival, Resilience and Redemption, Freedom's Forge: How American Business Produced Victory in World War II, Pearl Harbor: Warning and Decision","Michael Lewis, Daniel Kahneman, Nassim Taleb, Dan Ariely",,,,the-bomber-mafia-a-dream-a-temptation-and-the-longest-night-of-the-second-world-war|malcolm-gladwell,,,,
goodreads,Atmosphere,Taylor Jenkins Reid,fiction,read,5,3.86,20000,341,2025,2025/06/25,2025/01/02,0593158725,9780593158722,Ballantine Books,"contemporary, literary, romance","dual-timeline, character-driven, heartwarming, slow-burn","The Seven Husbands of Evelyn Hugo, Daisy Jones & The Six, Carrie Soto Is Back, Malibu Rising","Liane Moriarty, Emily Henry, Jojo Moyes, Lisa Jewell",,,,atmosphere|taylor-jenkins-reid,,,,
goodreads,Source Code: My Beginnings,Bill Gates,nonfiction,read,5,4.12,15000,337,2025,2025/06/21,2025/02/05,0593801598,9780593801598,Vintage,"memoir, tech history, biography","character-study, narrative-driven, accessible, personal","Steve Jobs, Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future, The Everything Store: Jeff Bezos and the Age of Amazon, The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution, How to Prevent the Next Pandemic","Walter Isaacson, Jeff Bezos, Phil Knight, Ashlee Vance",,,,source-code-my-beginnings|bill-gates,,Yes,,
goodreads,The Teacher,Freida McFadden,fiction,read,5,3.9,40000,379,2024,2025/05/20,2025/02/15,1728296218,9781728296210,Poisoned Pen Press,"thriller, psychological, domestic suspense","fast-paced, twisty, unreliable-narrator, dark","The Housemaid (The Housemaid, #1), Never Lie, Ward D, The Inmate, The Crash","B.A. Paris, Lisa Jewell, Shari Lapena, Liane Moriarty",,,,the-teacher|freida-mcfadden,,,,
goodreads,Rita Hayworth and Shawshank Redemption,Stephen King,fiction,read,4,4.4,250000,128,2020,2025/05/18,2025/02/03,1982163275,9781982163273,Scribner,"literary, crime","atmospheric, dark, character-driven, slow-burn","The Body, The Outsider, Billy Summers, A Face in the Crowd","Dean Koontz, Joe Hill, Peter Straub, Clive Barker",,,,rita-hayworth-and-shawshank-redemption|stephen-king,,,,
goodreads,Bourdain: The Definitive Oral Biography,Laurie Woolever,nonfiction,read,5,4.27,20000,442,2021,2025/04/27,2025/03/20,0062909126,9780062909121,HarperCollins Publishers Ltd,"biography, food, memoir","character-study, conversational, narrative-driven, accessible","Care and Feeding, Eat a Peach, Yes, Chef, Hungry: Eating, Road-Tripping, and Risking It All with the Greatest Chef in the World, Blood, Bones, and Butter: The Inadvertent Education of a Reluctant Chef","Anthony Bourdain, David Chang, Ruth Reichl, Michael Ruhlman",,,,bourdain-the-definitive-oral-biography|laurie-woolever,,,,
goodreads,Interference,Brad Parks,fiction,read,5,3.77,10000,397,2020,2025/04/07,2020/08/27,1542020360,9781542020367,Thomas & Mercer,"thriller, legal, suspense","fast-paced, procedural, twisty, tense","Say Nothing, The Flight Attendant, The Chain, No One Will Miss Her","John Grisham, Scott Turow, Steve Cavanagh, Lisa Scottoline",,,,interference|brad-parks,,,,
goodreads,Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,Hampton Sides,nonfiction,read,5,4.4,30000,344,2002,2025/04/04,2025/03/05,038549565X,9780385495653,Vintage,"history, military, narrative nonfiction","narrative-driven, gritty, accessible, dense","Blood and Thunder: An Epic of the American West, In the Kingdom of Ice: The Grand and Terrible Polar Voyage of the USS Jeannette, The Wide Wide Sea: Imperial Ambition, First Contact and the Fateful Final Voyage of Captain James Cook, Unbroken: A World War II Story of Survival, Resilience and Redemption, The Arsenal of Democracy: FDR, Detroit, and an Epic Quest to Arm an America at War","David Grann, Jon Krakauer, Laura Hillenbrand, Candice Millard",,,,ghost-soldiers-the-epic-account-of-world-war-ii-s-greatest-rescue-mission|hampton-sides,,,,
goodreads,Paper Towns,John Green,fiction,read,5,3.67,620000,305,2009,2025/04/04,2025/02/18,014241493X,9780142414934,Speak,"contemporary, literary, YA","heartwarming, melancholic, character-driven, fast-paced","Looking for Alaska, Turtles All the Way Down, The Perks of Being a Wallflower, Every Day (Every Day, #1)","David Nicholls, Rainbow Rowell, Sally Rooney, Taylor Jenkins Reid",,,,paper-towns|john-green,,,,
goodreads,In Ascension,Martin MacInnes,fiction,read,5,3.89,40000,382,2024,2025/03/26,2025/01/31,,,Atlantic Monthly Press,"speculative, literary, sci-fi","slow-burn, atmospheric, character-driven","The Martian, Seveneves, Project Hail Mary, The Mountain in the Sea, Children of Time (Children of Time, #1)","Ted Chiang, Emily St. John Mandel, Jeff VanderMeer, Kazuo Ishiguro",,,,in-ascension|martin-macinnes,,,,
goodreads,Never Lie,Freida McFadden,fiction,read,5,4.13,360000,286,2022,2025/03/22,2025/03/19,,,Hollywood Upstairs Press,"thriller, psychological, domestic suspense","fast-paced, twisty, unreliable-narrator, dark","The Housemaid (The Housemaid, #1), The Teacher, Ward D, The Boyfriend, The Tenant","B.A. Paris, Lisa Jewell, Shari Lapena, Liane Moriarty",,,,never-lie|freida-mcfadden,,,,
goodreads,"The Elias Network (Caspian Anderson, #1)",Simon Gervais,fiction,read,4,3.85,8000,349,2024,2025/03/18,2024/10/12,1662518528,9781662518522,Thomas & Mercer,"thriller, spy, suspense","fast-paced, tense, cat-and-mouse, plot-driven","The Blackbriar Genesis (Blackbriar #1), The Chain, Along Came a Spider (Alex Cross, #1), Dark Angel (Letty Davenport, #2)","Vince Flynn, Brad Thor, Daniel Silva, Jason Matthews",,,,the-elias-network|simon-gervais,,,,
goodreads,I Hope This Finds You Well,Natalie Sue,fiction,read,5,3.85,5000,349,2024,2025/03/17,2024/06/28,006332038X,9780063320383,William Morrow,"contemporary, humor","character-driven, humorous, conversational","Romantic Comedy, Lessons in Chemistry, The Rosie Project (Don Tillman, #1), The Wedding People, Good Material","Graeme Simsion, Matt Haig, Bonnie Garmus, Taylor Jenkins Reid",,,,i-hope-this-finds-you-well|natalie-sue,,Yes,,
goodreads,Looking for Alaska,John Green,fiction,read,5,4.02,750000,227,2019,2025/03/11,2025/02/18,,,Speak,"contemporary, literary, YA","heartwarming, melancholic, character-driven, fast-paced","Paper Towns, Turtles All the Way Down, The Perks of Being a Wallflower, Every Day (Every Day, #1)","David Nicholls, Rainbow Rowell, Sally Rooney, Taylor Jenkins Reid",,,,looking-for-alaska|john-green,,,,
